,Laptop Brand,Price,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Card Reader,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,RAM Bus Speed,Maximum RAM Supported,Solid State Drive,SSD Interface,Battery,Included Software,Sales Package,Other Features,Thunderbolt,Fingerprint Sensor,Security Lock Port,RAM Slots,Chipset,Hard Disk Capacity,Battery Backup,Aspect Ratio,Adapter Type,Hard Disk Speed,Country of Origin,Refresh Rate,USB Port Details,Battery Details,Other Ports,Optane Memory,Max SSD Supported,Display Port,Micro SD Card Reader,Hard Disk Interface,Rear Camera,GPU Clock Speed,VGA
0,HP,"₹49,990",Ryzen 5 ,5600H,Gaming,Netbook,Windows 10 Home (64-bit),360 x 257 x 23.5 mm,1.98 kg,1 year Onsite Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD WLED-Backlit IPS Micro-edge Display (Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC)",10/100/1000 GbE LAN,RTL8822CE 802.11a/b/g/n/ac (2x2),v5,"1 x USB Type-C, 1 x USB 2.0",1 x HDMI 2.0 Port,"3-in-1 Card Reader (SD, SDHC, SDxC)",Yes,Yes,Yes,"Full-size, Ultra Violet Backlit, Shadow Black Keyboard with Numeric Keypad, Yes",Yes,HP Imagepad with Multi-Touch Gesture Support,Integrated Dual Array Digital Microphone,Built-in Dual Speakers,"Audio by Bang & Olufsen, Dual Speakers",No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,Upto 16 GB,512 GB,NVMe,3 Cell Battery,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts","Laptop, Power Adaptor, User Guide, Warranty Documents",52.5Wh Li-ion Polymer Battery,,,,,,,,,,,,,,,,,,,,,,,
1,Acer,"₹54,990",Core i5,1240P,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),362.3 x 237.4 x 19.9 mm,2.1 kg,1 year Warranty,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,802.11a/b/g/n+ax wireless LAN,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,,Yes,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Touchpad with Multi-touch Gesture Support,Built-in Digital Microphone,Built In Dual Stereo Speakers,,No,Intel Core i5,"3.3 GHz, 12 Core",12,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,,,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","50 Wh, Li-ion battery pack",Yes,Yes,Kensington Lock Slot,2,,,,,,,,,,,,,,,,,,,
2,Acer,"₹59,990",Core i5,1240P,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),362.3 x 237.4 x 19.9 mm,2.1 kg,1 year Warranty,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,802.11a/b/g/n+ax wireless LAN,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,,Yes,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Touchpad with Multi-touch Gesture Support,Built-in Digital Microphone,Built In Dual Stereo Speakers,,No,Intel Core i5,"3.3 GHz, 12 Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,,,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","50 Wh, Li-ion battery pack",Yes,Yes,Kensington Lock Slot,2,,,,,,,,,,,,,,,,,,,
3,Lenovo,"₹56,500",Core i5,11320H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,2.25 kg,1 year Warranty,"Full HD, IPS, 250nits ",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Refresh Rate: 120 Hz, 45% NTSC, DC dimmer",100/1000M,Wi-Fi 6 (802.11ax) 2 x 2,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphone,Built-in Dual Stereo speakers,Nahimic Audio,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,3200 MHz,,256 GB,,,,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",,,,,2,Intel SoC Platform,1 TB,Upto 8 hours,,,,,,,,,,,,,,,,
4,Asus,"₹54,990",Ryzen 5,5600H,Gaming,Netbook,Windows 11 Home (64-bit),358 x 248 x 20 mm,1.8 kg,1 year Onsite Warranty,IPS,No,16 inches,1200 x 1920 pixels,~ 283,Yes,300nit Brightness,No,Wi-Fi 6(802.11ax),v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 1.4 Port,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Built-in Speaker,harman/kardon (Mainstream),No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,AMD,5th Gen,AMD Radeon Vega 7,,16 GB DDR4,,,512 GB,,,,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,Yes,,,,,,16:10,,,,,,,,,,,,,,,
5,HP,"₹78,990",Core i5,12450H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI 1.4 Port,"multi-format SD Media Card reader
",Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,4 GB,16 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,,,,,,2,,,,16:09,Smart AC power adapter,,,,,,,,,,,,,,
6,Lenovo,"₹51,990",Core i5,11320H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,2.25 kg,Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,Full HD IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes," 250nits , 60Hz, 45% NTSC, DC dimmer",100/1000M,"Wi-Fi 6 11ax, 2x2",v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0 Port,,Yes,,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphones,speakers Two built-in stereo speakers,"High Definition (HD) Audio, Realtek ALC3287 codec",No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,,,"Laptop, Battery, Adapter, Cables and User Manuals",45 Wh Li-ion Battery,,,,,,,Upto 8 hours,,,,,,,,,,,,,,,,
7,MSI,"₹59,990",Core i7,11800H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,2 years Warranty,"IPS-Level Display (with 144 Hz Refresh Rate, 100% sRGB)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,6,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,3-in-1 Card Reader,Yes,,Yes,"Red , Yes",Yes,Yes,Built-in Microphone,Built-in Dual Speakers,,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GTX1650 Max-Q,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,3 cell Cell Battery,"Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","Laptop, Battery, Power Adapter, User Guide",Li-ion Battery,,,,,Intel,,,,,,,,,,,,,,,,,,
8,HP,"₹65,990",Core i5,12450H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,144Hz,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 1.4 Port,"multi-format SD Media Card reader
",Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,4 GB,8 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,,,,,,2,,,,16:09,Smart AC power adapter,,,,,,,,,,,,,,
9,Lenovo,"₹55,817",Ryzen 5 ,5600H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 249.6 x 24.9 mm,2.25 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz Refresh Rate, Full HD LED Backlit, IPS Display (250 nits Brightness,, 3-Sided Narrow Bezel)",100/1000 MBPS,11ac (2x2),v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Yes,Yes,Trackpad with Windows Precision Driver,Built-In Dual Array Microphone,Built-In Dual Stereo Speakers,Stereo Speakers with Dolby Audio,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",45 Wh Battery,,,,2,,,Upto 5 hours,,Slim Tip (3-pin),,,,,,,,,,,,,,
