Device Type,Weight,Size,Resolution,PPI,Ethernet,Speed,Generation,Solid State Drive,Laptop Brand,Price,OS,Warranty,Touch,Anti Glare Screen,Camera,Optical Drive,Processor,Brand,RAM,USB Type-C,USB 3.0,USB 2.0,Max Speed
Netbook,1.98,15.6,1920 x 1080 pixels,141,1,3.3,5,512,HP,9425614.5,Windows 10 Home,1,0,1,1,0,AMD Ryzen 5,NVIDIA,8 GB DDR4,1,0,1,4.2
Netbook,2.1,15.6,1920 x 1080 pixels,141,1,3.3,12,512,Acer,10368364.5,Windows 11 Home,1,0,0,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,3,0,3.3
Netbook,2.1,15.6,1920 x 1080 pixels,141,1,3.3,12,512,Acer,11311114.5,Windows 11 Home,1,0,0,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,3,0,4.4
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,2.5,11,256,Lenovo,10653075.0,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,0,3.2
Netbook,1.8,16.0,1200 x 1920 pixels,283,0,3.3,5,512,ASUS,10368364.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 5,AMD,16 GB DDR4,1,2,1,4.2
Netbook,2.3,15.6,1920 x 1080 pixels,137,1,3.3,12,512,HP,14893564.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,1,0,4.4
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,2.5,11,512,Lenovo,9802714.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,1,3.2
Netbook,1.86,15.6,1920 x 1080 pixels,141,1,2.3,11,512,MSI,11311114.5,Windows 10 Home,2,0,1,1,0,Intel Core i7,NVIDIA,8 GB DDR4,1,3,0,4.6
Netbook,2.3,15.6,1920 x 1080 pixels,137,1,3.3,12,512,HP,12442414.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,0,4.4
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.3,5,512,Lenovo,10524295.35,Windows 11 Home,1,0,1,1,0,AMD Ryzen 5,NVIDIA,8 GB DDR4,1,2,0,4.2
Netbook,2.65,15.6,1920 x 1080 pixels,141,1,2.6,11,512,Dell,12767851.8,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,3,4,2,2.6
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.1,11,512,Lenovo,10766016.45,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,0,4.4
