Laptop Brand,Price,Series,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,HDMI,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Inbuilt Microphone,Speakers,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,Solid State Drive,Battery,Sales Package,USB Type-C,USB 3.0,USB 2.0
HP,9425614.5,Ryzen 5 ,Netbook,Windows 10 Home,360 x 257 x 23.5 mm,1.98 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD WLED-Backlit IPS Micro-edge Display (Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC)",10/100/1000 GbE LAN,1 x HDMI 2.0 Port,Yes,Yes,Yes,"Full-size, Ultra Violet Backlit, Shadow Black Keyboard with Numeric Keypad, Yes",Yes,Integrated Dual Array Digital Microphone,Built-in Dual Speakers,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,0,1
Acer,10368364.5,Core i5,Netbook,Windows 11 Home,362.3 x 237.4 x 19.9 mm,2.1 kg,1,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,1 x HDMI Port,Yes,,Yes,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Built-in Digital Microphone,Built In Dual Stereo Speakers,No,Intel Core i5,"3.3 GHz, 12 Core",12,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
Acer,11311114.5,Core i5,Netbook,Windows 11 Home,362.3 x 237.4 x 19.9 mm,2.1 kg,1,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,1 x HDMI Port,Yes,,Yes,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Built-in Digital Microphone,Built In Dual Stereo Speakers,No,Intel Core i5,"3.3 GHz, 12 Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
Lenovo,10653075.0,Core i5,Netbook,Windows 11 Home,359.6 x 251.9 x 24.2 mm,2.25 kg,1,"Full HD, IPS, 250nits ",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Refresh Rate: 120 Hz, 45% NTSC, DC dimmer",100/1000M,1 x HDMI 2.0 Port,Yes,,Yes,"White Backlit, English, Yes",Yes,Built-in Dual Array Microphone,Built-in Dual Stereo speakers,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,256 GB,,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",1,2,0
ASUS,10368364.5,Ryzen 5,Netbook,Windows 11 Home,358 x 248 x 20 mm,1.8 kg,1,IPS,No,16 inches,1200 x 1920 pixels,~ 283,Yes,300nit Brightness,No,1 x HDMI 1.4 Port,Yes,Yes,Yes,Yes,Yes,Yes,Built-in Speaker,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,AMD,5th Gen,AMD Radeon Vega 7,,16 GB DDR4,512 GB,,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",1,2,1
HP,14893564.5,Core i5,Netbook,Windows 11 Home,,,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",1 x HDMI 1.4 Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,4 GB,16 GB DDR4,512 GB,4 Cell Battery,,1,1,0
Lenovo,9802714.5,Core i5,Netbook,Windows 11 Home,359.6 x 251.9 x 24.2 mm,2.25 kg,1,Full HD IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes," 250nits , 60Hz, 45% NTSC, DC dimmer",100/1000M,1 x HDMI 2.0 Port,Yes,,Yes,"White Backlit, English, Yes",Yes,Built-in Dual Array Microphones,speakers Two built-in stereo speakers,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,,"Laptop, Battery, Adapter, Cables and User Manuals",1,2,1
MSI,11311114.5,Core i7,Netbook,Windows 10 Home,359 x 254 x 21.7 mm,1.86 kg,2,"IPS-Level Display (with 144 Hz Refresh Rate, 100% sRGB)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,1 x HDMI Port,Yes,,Yes,"Red , Yes",Yes,Built-in Microphone,Built-in Dual Speakers,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GTX1650 Max-Q,GDDR6 4 GB,8 GB DDR4,512 GB,3 cell Cell Battery,"Laptop, Battery, Power Adapter, User Guide",1,3,0
HP,12442414.5,Core i5,Netbook,Windows 11 Home,,,1,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,144Hz,"Integrated 10/100/1000 GbE LAN
",1 x HDMI 1.4 Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,4 GB,8 GB DDR4,512 GB,4 Cell Battery,,1,2,0
Lenovo,10524295.350000001,Ryzen 5 ,Netbook,Windows 11 Home,359 x 249.6 x 24.9 mm,2.25 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz Refresh Rate, Full HD LED Backlit, IPS Display (250 nits Brightness,, 3-Sided Narrow Bezel)",100/1000 MBPS,1 x HDMI v2.0 Port,Yes,Yes,Yes,Yes,Yes,Built-In Dual Array Microphone,Built-In Dual Stereo Speakers,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
