,Weight,Size,PPI,Solid State Drive,Price,Touch,Max Speed,Device Type_Hybrid,Device Type_Netbook,Device Type_Ultrabook,Resolution_1366 x 768 pixels,Resolution_1920 x 1080 pixels,Resolution_1920 x 1200 pixels,Resolution_1980 x 1080 pixels,Resolution_2560 x 1440 pixels,Resolution_2560 x 1600 pixels,Resolution_2880 x 1800 pixels,Resolution_3072 x 1920 pixels,Resolution_3480 x 2160 pixels,Resolution_3840 x 2160 pixels,Resolution_3840 x 2400 pixels,Laptop Brand_AGB,Laptop Brand_ASUS,Laptop Brand_Acer,Laptop Brand_Dell,Laptop Brand_Gigabyte,Laptop Brand_HP,Laptop Brand_Lenovo,Laptop Brand_MSI,Laptop Brand_Mechrevo,Laptop Brand_Razer,OS_DOS,OS_Windows 10,OS_Windows 10 Home,OS_Windows 10 Pro,OS_Windows 11,OS_Windows 11 Home,OS_Windows 11 Pro,Processor_AMD Ryzen 5,Processor_AMD Ryzen 7,Processor_AMD Ryzen 9,Processor_Intel Core i3,Processor_Intel Core i5,Processor_Intel Core i7,Processor_Intel Core i9,Processor_Intel Tiger Lake,RAM_12 GB DDR4,RAM_16 GB,RAM_16 GB DDR,RAM_16 GB DDR4,RAM_16 GB DDR5,RAM_16 GB LPDDR4X,RAM_16 GB LPDDR5,RAM_32 GB,RAM_32 GB DDR4,RAM_32 GB DDR5,RAM_32 GB LPDDR4X,RAM_32 GB LPDDR5,RAM_4 GB DDR4,RAM_64 GB DDR4,RAM_64 GB DDR5,RAM_8 GB,RAM_8 GB DDR3,RAM_8 GB DDR4,RAM_8 GB DDR5
0,1.98,15.6,141,512,9425614.5,0,4.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.1,15.6,141,512,10368364.5,0,3.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.1,15.6,141,512,11311114.5,0,4.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2.25,15.6,141,256,10653075.0,0,3.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.8,16.0,283,512,10368364.5,0,4.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.3,15.6,137,512,14893564.5,0,4.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.25,15.6,141,512,9802714.5,0,3.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1.86,15.6,141,512,11311114.5,0,4.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2.3,15.6,137,512,12442414.5,0,4.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2.25,15.6,141,512,10524295.35,0,4.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
